program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);bandwidths(Mbs);input_size;runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
31;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;70;30;0.150968;0.20;18;41;NA;0.956064;NA
31;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;75;30;0.141537;0.19;19;46;NA;0.956064;NA
31;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;80;30;0.140471;0.18;18;47;NA;0.956064;NA
31;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;85;30;0.130647;0.17;17;51;NA;0.956064;NA
31;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;90;30;0.135562;0.18;18;47;NA;0.956064;NA
31;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;95;30;0.128163;0.17;17;45;NA;0.956064;NA
31;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;100;30;0.129281;0.17;18;52;NA;0.956064;NA
31;BINARY;malhonest;malicious-ccd;3;0.38;32;1;10;30;0.594173;0.64;13;20;NA;1.16047;NA
31;BINARY;malhonest;malicious-ccd;3;NA;NA;NA;15;30;0.399519;0.44;13;29;NA;1.16047;NA
31;BINARY;malhonest;malicious-ccd;3;NA;NA;NA;20;30;0.301068;0.34;13;34;NA;1.16047;NA
31;BINARY;malhonest;malicious-ccd;3;NA;NA;NA;25;30;0.243347;0.28;15;45;NA;1.16047;NA
31;BINARY;malhonest;malicious-ccd;3;NA;NA;NA;30;30;0.205247;0.24;15;50;NA;1.16047;NA
31;BINARY;malhonest;malicious-ccd;3;NA;NA;NA;35;30;0.177771;0.22;15;54;NA;1.16047;NA
31;BINARY;malhonest;malicious-ccd;3;NA;NA;NA;40;30;0.156434;0.20;13;64;NA;1.16047;NA
31;BINARY;malhonest;malicious-ccd;3;NA;NA;NA;45;30;0.140565;0.19;15;73;NA;1.16047;NA
31;BINARY;malhonest;malicious-ccd;3;NA;NA;NA;50;30;0.126958;0.17;15;74;NA;1.16047;NA
31;BINARY;malhonest;malicious-ccd;3;NA;NA;NA;55;30;0.114791;0.15;15;78;NA;1.16047;NA
31;BINARY;malhonest;malicious-ccd;3;NA;NA;NA;60;30;0.11665;0.16;13;82;NA;1.16047;NA
31;BINARY;malhonest;malicious-ccd;3;NA;NA;NA;65;30;0.114254;0.15;13;85;NA;1.16047;NA
31;BINARY;malhonest;malicious-ccd;3;NA;NA;NA;70;30;0.106694;0.15;15;73;NA;1.16047;NA
31;BINARY;malhonest;malicious-ccd;3;NA;NA;NA;75;30;0.10642;0.14;15;95;NA;1.16047;NA
31;BINARY;malhonest;malicious-ccd;3;NA;NA;NA;80;30;0.10403;0.14;15;92;NA;1.16047;NA
31;BINARY;malhonest;malicious-ccd;3;NA;NA;NA;85;30;0.0981303;0.14;13;98;NA;1.16047;NA
31;BINARY;malhonest;malicious-ccd;3;NA;NA;NA;90;30;0.0994668;0.14;13;91;NA;1.16047;NA
31;BINARY;malhonest;malicious-ccd;3;NA;NA;NA;95;30;0.098811;0.14;15;95;NA;1.16047;NA
31;BINARY;malhonest;malicious-ccd;3;NA;NA;NA;100;30;0.0943166;0.14;13;92;NA;1.16047;NA
31;BINARY;malhonest;ps-rep-bin;3;0.38;32;1;10;30;54.8672;54.91;372;2;NA;67.2439;NA
31;BINARY;malhonest;ps-rep-bin;3;NA;NA;NA;15;30;36.8282;36.87;372;2;NA;67.2439;NA
31;BINARY;malhonest;ps-rep-bin;3;NA;NA;NA;20;30;27.8132;27.85;373;3;NA;67.2439;NA
31;BINARY;malhonest;ps-rep-bin;3;NA;NA;NA;25;30;22.4011;22.44;373;5;NA;67.2439;NA
31;BINARY;malhonest;ps-rep-bin;3;NA;NA;NA;30;30;18.8157;18.85;372;5;NA;67.2439;NA
31;BINARY;malhonest;ps-rep-bin;3;NA;NA;NA;35;30;16.2397;16.28;372;6;NA;67.2439;NA
31;BINARY;malhonest;ps-rep-bin;3;NA;NA;NA;40;30;14.2971;14.33;370;6;NA;67.2439;NA
31;BINARY;malhonest;ps-rep-bin;3;NA;NA;NA;45;30;12.7731;12.81;373;7;NA;67.2439;NA
31;BINARY;malhonest;ps-rep-bin;3;NA;NA;NA;50;30;11.5914;11.64;371;8;NA;67.2439;NA
31;BINARY;malhonest;ps-rep-bin;3;NA;NA;NA;55;30;10.6079;10.65;372;9;NA;67.2439;NA
31;BINARY;malhonest;ps-rep-bin;3;NA;NA;NA;60;30;9.77224;9.81;372;10;NA;67.2439;NA
31;BINARY;malhonest;ps-rep-bin;3;NA;NA;NA;65;30;9.08601;9.13;372;10;NA;67.2439;NA
31;BINARY;malhonest;ps-rep-bin;3;NA;NA;NA;70;30;8.50408;8.55;372;11;NA;67.2439;NA
31;BINARY;malhonest;ps-rep-bin;3;NA;NA;NA;75;30;7.97258;8.01;373;12;NA;67.2439;NA
31;BINARY;malhonest;ps-rep-bin;3;NA;NA;NA;80;30;7.52524;7.57;373;12;NA;67.2439;NA
31;BINARY;malhonest;ps-rep-bin;3;NA;NA;NA;85;30;7.12746;7.17;373;13;NA;67.2439;NA
31;BINARY;malhonest;ps-rep-bin;3;NA;NA;NA;90;30;6.77882;6.81;372;14;NA;67.2439;NA
31;BINARY;malhonest;ps-rep-bin;3;NA;NA;NA;95;30;6.46741;6.51;373;14;NA;67.2439;NA
31;BINARY;malhonest;ps-rep-bin;3;NA;NA;NA;100;30;6.17019;6.22;373;15;NA;67.2439;NA
31;BINARY;malhonest;mal-shamir-bmr;3;0.38;32;1;10;30;13.7052;13.75;63;3;NA;33.8032;NA
31;BINARY;malhonest;mal-shamir-bmr;3;NA;NA;NA;15;30;9.17228;9.21;59;5;NA;33.8032;NA
31;BINARY;malhonest;mal-shamir-bmr;3;NA;NA;NA;20;30;6.91091;6.95;58;7;NA;33.8032;NA
31;BINARY;malhonest;mal-shamir-bmr;3;NA;NA;NA;25;30;5.55298;5.60;57;9;NA;33.8032;NA
31;BINARY;malhonest;mal-shamir-bmr;3;NA;NA;NA;30;30;4.65051;4.70;58;12;NA;33.8032;NA
31;BINARY;malhonest;mal-shamir-bmr;3;NA;NA;NA;35;30;4.00385;4.05;60;14;NA;33.8032;NA
31;BINARY;malhonest;mal-shamir-bmr;3;NA;NA;NA;40;30;3.5193;3.56;57;15;NA;33.8032;NA
31;BINARY;malhonest;mal-shamir-bmr;3;NA;NA;NA;45;30;3.14156;3.18;60;16;NA;33.8032;NA
31;BINARY;malhonest;mal-shamir-bmr;3;NA;NA;NA;50;30;2.84409;2.89;62;18;NA;33.8032;NA
31;BINARY;malhonest;mal-shamir-bmr;3;NA;NA;NA;55;30;2.59463;2.64;61;15;NA;33.8032;NA
31;BINARY;malhonest;mal-shamir-bmr;3;NA;NA;NA;60;30;2.38899;2.43;58;20;NA;33.8032;NA
31;BINARY;malhonest;mal-shamir-bmr;3;NA;NA;NA;65;30;2.21479;2.26;58;21;NA;33.8032;NA
31;BINARY;malhonest;mal-shamir-bmr;3;NA;NA;NA;70;30;2.06775;2.11;60;23;NA;33.8032;NA
31;BINARY;malhonest;mal-shamir-bmr;3;NA;NA;NA;75;30;1.93862;1.98;58;24;NA;33.8032;NA
31;BINARY;malhonest;mal-shamir-bmr;3;NA;NA;NA;80;30;1.82585;1.87;59;26;NA;33.8032;NA
31;BINARY;malhonest;mal-shamir-bmr;3;NA;NA;NA;85;30;1.72896;1.77;58;27;NA;33.8032;NA
31;BINARY;malhonest;mal-shamir-bmr;3;NA;NA;NA;90;30;1.64021;1.68;57;29;NA;33.8032;NA
31;BINARY;malhonest;mal-shamir-bmr;3;NA;NA;NA;95;30;1.56971;1.62;57;30;NA;33.8032;NA
31;BINARY;malhonest;mal-shamir-bmr;3;NA;NA;NA;100;30;1.49318;1.54;56;32;NA;33.8032;NA
31;BINARY;semihonest;shamir-bmr;3;0.38;32;1;10;30;6.1393;6.18;47;2;NA;10.0261;NA
31;BINARY;semihonest;shamir-bmr;3;NA;NA;NA;15;30;4.11034;4.16;47;4;NA;10.0261;NA
31;BINARY;semihonest;shamir-bmr;3;NA;NA;NA;20;30;3.09352;3.14;49;5;NA;10.0261;NA
31;BINARY;semihonest;shamir-bmr;3;NA;NA;NA;25;30;2.50601;2.55;50;7;NA;10.0261;NA
31;BINARY;semihonest;shamir-bmr;3;NA;NA;NA;30;30;2.09366;2.14;45;8;NA;10.0261;NA
31;BINARY;semihonest;shamir-bmr;3;NA;NA;NA;35;30;1.8059;1.85;45;9;NA;10.0261;NA
31;BINARY;semihonest;shamir-bmr;3;NA;NA;NA;40;30;1.59844;1.64;44;9;NA;10.0261;NA
31;BINARY;semihonest;shamir-bmr;3;NA;NA;NA;45;30;1.44166;1.48;44;11;NA;10.0261;NA
31;BINARY;semihonest;shamir-bmr;3;NA;NA;NA;50;30;1.2962;1.34;50;13;NA;10.0261;NA
31;BINARY;semihonest;shamir-bmr;3;NA;NA;NA;55;30;1.19562;1.23;46;13;NA;10.0261;NA
31;BINARY;semihonest;shamir-bmr;3;NA;NA;NA;60;30;1.10478;1.15;48;14;NA;10.0261;NA
31;BINARY;semihonest;shamir-bmr;3;NA;NA;NA;65;30;1.02621;1.07;43;15;NA;10.0261;NA
